Organization Name,Organization Name URL,Headquarters Location,Industries,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Industry Groups,Stock Symbol,Stock Symbol URL,Stock Exchange,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Investor Type,Investment Stage
Inspur Group,https://www.crunchbase.com/organization/inspur-group,"Jinan, Shandong, China","Computer, Enterprise, Information Technology, IT Management, Software",http://en.inspur.com/,180000000,CNY,29304249,1,1945-01-01,year,"Consumer Electronics, Hardware, Information Technology, Other, Software",000977,https://www.crunchbase.com/ipo/inspur-group-ipo--871935af,SZSE - Shenzhen Stock Exchange,,,,,,,,
Tiexue.net,https://www.crunchbase.com/organization/tiexue-net,"Haidian, Beijing, China","Media and Entertainment, Military, News",http://www.tiexue.net,45631450,USD,45631450,7,2004-04-27,day,"Content and Publishing, Government and Military, Information Technology, Media and Entertainment",833658,https://www.crunchbase.com/ipo/tiexue-net-ipo--d3302da3,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Regentsoft,https://www.crunchbase.com/organization/regentsoft,"Panyu, Guangdong, China","Apparel, Enterprise Resource Planning (ERP), Fashion, Software",http://www.myregent.cn,55000000,CNY,8287187,3,1995-02-23,day,"Clothing and Apparel, Design, Software",833277,https://www.crunchbase.com/ipo/regentsoft-ipo--89620b15,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Xingtu Xinke,https://www.crunchbase.com/organization/xingtu-xinke,"Wuhan, Hubei, China","Audio, Military, Video",http://www.xingtu.com,100000000,CNY,14660918,3,2004-06-17,day,"Government and Military, Information Technology, Media and Entertainment, Music and Audio, Video",688081,https://www.crunchbase.com/ipo/xingtu-xinke-ipo--9dab2e5b,SSE - Shanghai Stock Exchange,,,,,,,,
G-Cloud Technology,https://www.crunchbase.com/organization/g-cloud-technology,"Dongguang, Guangdong, China","Big Data, Cloud Computing, Database",http://www.g-cloud.com.cn/,10000000,CNY,1467438,1,2010-04-15,day,"Data and Analytics, Internet Services, Software",871198,https://www.crunchbase.com/ipo/g-cloud-technology-ipo--9498d7ef,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing Originwater Technology,https://www.crunchbase.com/organization/beijing-originwater-technology,"Haidian, Beijing, China","Environmental Engineering, Health Care, Service Industry, Technical Support",http://www.originwater.com/,2442000000,CNY,361322779,1,2001-07-17,day,"Health Care, Information Technology, Other, Science and Engineering, Sustainability",300070,https://www.crunchbase.com/ipo/beijing-originwater-technology-ipo--7b8390cf,SZSE - Shenzhen Stock Exchange,,,,,,,,
Viga Intelligent,https://www.crunchbase.com/organization/viga-intelligent,"Beijing, Beijing, China","Agriculture, Drone Management, Drones",http://www.viga.com.cn,43600000,CNY,6873358,2,2007-01-01,day,"Agriculture and Farming, Consumer Electronics, Consumer Goods, Hardware, Software",837999,https://www.crunchbase.com/ipo/viga-intelligent-ipo--d92daa37,NEEQ - National Equities Exchange and Quotations,,,,,,,,
HighGo Software,https://www.crunchbase.com/organization/highgo-software,"Jinan, Shandong, China","Big Data, Cloud Computing, Database, Information Technology, Software",https://www.highgo.com/,81970000,CNY,12300274,2,2005-07-05,day,"Data and Analytics, Information Technology, Internet Services, Software",833644,https://www.crunchbase.com/ipo/highgo-software-ipo--56965e72,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ZHIWANG,https://www.crunchbase.com/organization/zhiwang,"Haidian, Beijing, China","Big Data, Blockchain, Data Center, Finance, Government, Information Technology",http://www.zhiwang.com.cn,15000000,CNY,2374507,2,2000-03-22,day,"Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Government and Military, Hardware, Information Technology, Other",430250,https://www.crunchbase.com/ipo/zhiwang-ipo--28b2018d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SINObase,https://www.crunchbase.com/organization/sinobase,"Beijing, Beijing, China","CRM, Marketing",http://www.sinobasedm.com,33500000,CNY,4979956,2,2005-03-10,day,"Information Technology, Sales and Marketing, Software",836311,https://www.crunchbase.com/ipo/sinobase-ipo--664619b8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Innovisgroup,https://www.crunchbase.com/organization/innovisgroup,"Beijing, Beijing, China","3D Technology, Artificial Intelligence (AI), Information Services",http://www.innovisgroup.com/,20951665,USD,20951665,3,2011-08-08,day,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",835349,https://www.crunchbase.com/ipo/innovisgroup-ipo--6ae897bf,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shanghai IVY Auto,https://www.crunchbase.com/organization/shanghai-ivy-auto,"Minhang, Shanghai, China","Automotive, Mechanical Engineering, Technical Support",http://www.ivycar.cn/,17490000,CNY,2642362,2,2013-07-11,day,"Information Technology, Other, Science and Engineering, Transportation",838897,https://www.crunchbase.com/ipo/shanghai-ivy-auto-ipo--60ed121d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Yoanchuang Digital Technology Limited,https://www.crunchbase.com/organization/yoanchuang-digital-technology-limited,"Beijing, Beijing, China","Cloud Security, Data Governance, Data Management, Data Storage, Information Services",http://www.seatol.cn/,63000000,CNY,9463248,4,,,"Data and Analytics, Hardware, Information Technology, Privacy and Security, Software",873377,https://www.crunchbase.com/ipo/yoanchuang-digital-technology-limited-ipo--a423ed85,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shanghang,https://www.crunchbase.com/organization/shanghang,"Guangzhou Shi, Guangdong, China","Cloud Data Services, Information and Communications Technology (ICT), Internet",http://www.sunhongs.com,222999900,CNY,34513955,4,2010-01-01,year,"Information Technology, Internet Services",836366,https://www.crunchbase.com/ipo/shanghang-ipo--af880db8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ThunderSoft,https://www.crunchbase.com/organization/thundersoft-company-limited,"Beijing, Beijing, China","Automotive, Enterprise Software, Intelligent Systems, Internet of Things, Mobile, Software",http://www.thundersoft.com,100000000,CNY,15436406,2,2008-01-01,year,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Mobile, Science and Engineering, Software, Transportation",300496,https://www.crunchbase.com/ipo/thundersoft-company-limited-ipo--2a4bc840,SZSE - Shenzhen Stock Exchange,,,,,,,,
HYDEE,https://www.crunchbase.com/organization/hydee,"Shanghai, Shanghai, China","Enterprise Resource Planning (ERP), Information Technology, Insurance, Medical, Software, Supply Chain Management",http://www.hydee.cn,142230000,CNY,20346675,2,2004-12-09,day,"Financial Services, Health Care, Information Technology, Software, Transportation",831317,https://www.crunchbase.com/ipo/hydee-ipo--16043777,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SAIL BEFORE,https://www.crunchbase.com/organization/sail-before,"Beijing, Beijing, China","Information Technology, Software, Virtual Reality",http://www.bjsobf.cn,48000000,CNY,7240555,2,2008-10-13,day,"Hardware, Information Technology, Software",870068,https://www.crunchbase.com/ipo/sail-before-ipo--d963f102,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Futurepath,https://www.crunchbase.com/organization/futurepath,"Shenzhen, Guangdong, China","Data Storage, Hardware, Manufacturing",http://www.futurepath.com.cn,32900000,CNY,5137575,1,2006-03-27,day,"Hardware, Manufacturing, Software",838696,https://www.crunchbase.com/ipo/futurepath-ipo--89270f96,NEEQ - National Equities Exchange and Quotations,,,,,,,,
IW Technology,https://www.crunchbase.com/organization/iw-technology,"Haidian, Beijing, China","Enterprise Software, Information Technology",http://www.bjiwt.com.cn/,18000000,CNY,2564284,2,2001-07-18,day,"Information Technology, Software",837759,https://www.crunchbase.com/ipo/iw-technology-ipo--fa40d587,NEEQ - National Equities Exchange and Quotations,,,,,,,,
amethystum,https://www.crunchbase.com/organization/amethystum,"Meizhou, Guangdong, China","Big Data, Data Storage, Software",https://amethystum.com/,293500000,CNY,43950001,4,2010-04-15,day,"Data and Analytics, Hardware, Software",835870,https://www.crunchbase.com/ipo/amethystum-ipo--05eaf011,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Dr.COM,https://www.crunchbase.com/organization/dr-com,"Guangzhou Shi, Guangdong, China","Internet, Network Security, Wireless",http://www.doctorcom.com,500000,CNY,81070,2,1995-01-01,day,"Hardware, Information Technology, Internet Services, Mobile, Privacy and Security",871080,https://www.crunchbase.com/ipo/dr-com-ipo--3e84f211,NEEQ - National Equities Exchange and Quotations,,,,,,,,
GDI,https://www.crunchbase.com/organization/gdi-0f94,"Songjiang, Shanghai, China","Education, Medical, Virtual Reality",http://www.gdi.com.cn/,333190000,CNY,51739910,6,2007-01-01,day,"Education, Hardware, Health Care, Software",834534,https://www.crunchbase.com/ipo/gdi-0f94-ipo--42ea41ad,NEEQ - National Equities Exchange and Quotations,,,,,,,,
DAHAN TRICOM,https://www.crunchbase.com/organization/dahan-tricom,"Zhangjiang, Shanghai, China","Cloud Computing, Information Technology, Internet",http://www.dahantc.com/,100000000,CNY,14848471,1,2003-03-03,day,"Information Technology, Internet Services, Software",430237,https://www.crunchbase.com/ipo/dahan-tricom-ipo--fdae7889,NEEQ - National Equities Exchange and Quotations,,,,,,,,
InVision,https://www.crunchbase.com/organization/invision-8c60,"Xuhui, Shanghai, China","Health Care, Medical, Virtual Reality",http://www.invisionhealth.cn,20000000,CNY,3077742,1,2013-07-08,day,"Hardware, Health Care, Software",839661,https://www.crunchbase.com/ipo/invision-8c60-ipo--17d3e9cd,NEEQ - National Equities Exchange and Quotations,,,,,,,,
COMMCHINA,https://www.crunchbase.com/organization/commchina,"Beijing, Beijing, China","Cloud Computing, Telecommunications",https://commchina.net/,165000000,CNY,24953660,3,2008-11-20,day,"Hardware, Internet Services, Software",832646,https://www.crunchbase.com/ipo/commchina-ipo--8b0838d1,NEEQ - National Equities Exchange and Quotations,,,,,,,,
51Testing,https://www.crunchbase.com/organization/51testing,"Huangpu, Shanghai, China","Information Technology, Quality Assurance, Software, Software Engineering, Training",https://www.51testing.cc,22240000,CNY,3434852,2,2004-02-18,day,"Education, Information Technology, Professional Services, Science and Engineering, Software",836392,https://www.crunchbase.com/ipo/51testing-ipo--c77a7cc5,NEEQ - National Equities Exchange and Quotations,,,,,,,,
TiNCHER,https://www.crunchbase.com/organization/tincher,"Dongying, Shandong, China","3D Technology, Information Services, Mapping Services",http://zhongguotianyuan.com/,53830000,CNY,8509259,1,2003-01-08,day,"Hardware, Information Technology, Navigation and Mapping, Software",833685,https://www.crunchbase.com/ipo/tincher-ipo--5409edf9,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Jingang Youxi,https://www.crunchbase.com/organization/jingang-youxi,"Beijing, Beijing, China","Media and Entertainment, Video Games, Web Development",http://www.jgyou.com/,137990000,CNY,19958388,1,2001-09-24,day,"Gaming, Media and Entertainment, Software",430092,https://www.crunchbase.com/ipo/jingang-youxi-ipo--eeb19c9d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
AIMan,https://www.crunchbase.com/organization/aiman,"Beijing, Beijing, China","Artificial Intelligence (AI), Data Mining, Information Technology, Software",http://www.iminer.com/,120780000,CNY,19050726,4,2012-03-05,day,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",835100,https://www.crunchbase.com/ipo/aiman-ipo--8e0630f6,NEEQ - National Equities Exchange and Quotations,,,,,,,,
iFreecomm,https://www.crunchbase.com/organization/ifreecomm,"Shenzhen, Guangdong, China","Information Technology, Software, Video Conferencing",http://www.ifreecomm.com/,161760000,CNY,25157921,7,2008-12-19,day,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",837860,https://www.crunchbase.com/ipo/ifreecomm-ipo--03ef17e1,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Balun Technology,https://www.crunchbase.com/organization/balun-technology,"Nanshanqu, Guangdong, China","Electronics, Service Industry, Technical Support",http://www.baluntek.com/,26990000,CNY,4212054,1,2013-03-19,day,"Consumer Electronics, Hardware, Information Technology, Other",839528,https://www.crunchbase.com/ipo/balun-technology-ipo--b8fc5c59,NEEQ - National Equities Exchange and Quotations,,,,,,,,
DCS,https://www.crunchbase.com/organization/dcs-8d04,"Nanshanqu, Guangdong, China","Cloud Computing, Information Technology, Software",http://www.dcs-china.com/,14976000,CNY,2161908,1,2003-07-01,day,"Information Technology, Internet Services, Software",839441,https://www.crunchbase.com/ipo/dcs-8d04-ipo--5db166f6,NEEQ - National Equities Exchange and Quotations,,,,,,,,
asion star,https://www.crunchbase.com/organization/asion-star,"Chengdu, Sichuan, China","Information Technology, Software, Web Development",http://www.asionsys.com.cn/,50380000,CNY,7936281,2,2003-12-11,day,"Information Technology, Software",836191,https://www.crunchbase.com/ipo/asion-star-ipo--a1708e70,NEEQ - National Equities Exchange and Quotations,,,,,,,,
FHZL,https://www.crunchbase.com/organization/fhzl,"Foshan, Guangdong, China","3D Printing, 3D Technology, Printing",http://www.fhzl.co/,34460000,CNY,5417430,2,2002-01-01,day,"Content and Publishing, Hardware, Manufacturing, Media and Entertainment, Software",834914,https://www.crunchbase.com/ipo/fhzl-ipo--66fa0467,NEEQ - National Equities Exchange and Quotations,,,,,,,,
I-SEARCH,https://www.crunchbase.com/organization/i-search,"Minhang, Shanghai, China","Software, Technical Support",https://www.i-search.com.cn/,3000000,CNY,488659,2,2011-04-19,day,"Information Technology, Other, Software",839025,https://www.crunchbase.com/ipo/i-search-ipo--abfe15d0,NEEQ - National Equities Exchange and Quotations,,,,,,,,
DOSN MEDIA GROUP,https://www.crunchbase.com/organization/dosn-media-group,"Wuchang, Hubei, China","Advertising, Big Data, Cloud Computing",http://www.dosing100.com,49800000,CNY,7223145,1,2009-07-30,day,"Advertising, Data and Analytics, Internet Services, Sales and Marketing, Software",838397,https://www.crunchbase.com/ipo/dosn-media-group-ipo--5e42fb96,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Highguard Networks,https://www.crunchbase.com/organization/highguard-networks,"Jiading, Shanghai, China","Hardware, Network Security, Software",http://www.highguard.com.cn,48000000,CNY,6937854,2,2008-07-10,day,"Hardware, Information Technology, Privacy and Security, Software",837788,https://www.crunchbase.com/ipo/highguard-networks-ipo--b23b2265,NEEQ - National Equities Exchange and Quotations,,,,,,,,
BO RUI TONG YUN,https://www.crunchbase.com/organization/bo-rui-tong-yun,"Beijing, Beijing, China","Artificial Intelligence (AI), Health Care, Machine Learning, Natural Language Processing",http://www.bjbrty.com,68980938,USD,68980938,3,2012-03-06,day,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",834374,https://www.crunchbase.com/ipo/bo-rui-tong-yun-ipo--48c3269e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Jiean Hi-Tech,https://www.crunchbase.com/organization/jiean-hi-tech,"Zhengzhou, Henan, China","Simulation, Training, Vocational Education",http://www.jantech.cn/,45000000,CNY,6595146,1,2002-06-03,day,"Education, Software",300845,https://www.crunchbase.com/ipo/jiean-hi-tech-ipo--332442c2,SZSE - Shenzhen Stock Exchange,,,,,,,,
Source Homo Technology,https://www.crunchbase.com/organization/source-homo-technology,"Baoan, Guangdong, China","Artificial Intelligence (AI), Image Recognition, Robotics",http://www.3t-cn.com,131540000,CNY,21002970,3,2003-03-05,day,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",833135,https://www.crunchbase.com/ipo/source-homo-technology-ipo--e9679405,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Sinic-Tek,https://www.crunchbase.com/organization/sinic-tek,"Xiamen, Fujian, China","3D Technology, Manufacturing",http://www.sinictek.com,34310000,CNY,5288488,2,2010-11-15,day,"Hardware, Manufacturing, Software",839448,https://www.crunchbase.com/ipo/sinic-tek-ipo--c29c0208,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Zhongdian Kean,https://www.crunchbase.com/organization/zhongdian-kean,"Beijing, Beijing, China","Internet of Things, Network Security, Security",http://www.cecsys.com/,95000000,CNY,14408965,2,2010-09-06,day,"Information Technology, Internet Services, Privacy and Security",837840,https://www.crunchbase.com/ipo/zhongdian-kean-ipo--8e5c0ba0,NEEQ - National Equities Exchange and Quotations,,,,,,,,
VESYSTEM,https://www.crunchbase.com/organization/vesystem,"Haidian, Beijing, China","Cloud Computing, Information Technology, Manufacturing, Software",https://www.vesystem.com/,49880000,CNY,7551856,2,2009-08-19,day,"Information Technology, Internet Services, Manufacturing, Software",837642,https://www.crunchbase.com/ipo/vesystem-ipo--f20208b2,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Xindajiean,https://www.crunchbase.com/organization/xindajiean,"Zhengzhou, Henan, China","Cyber Security, Information Services, Security",https://www.xdja.com/,48000000,CNY,7010479,2,2004-05-17,day,"Information Technology, Privacy and Security",834403,https://www.crunchbase.com/ipo/xindajiean-ipo--285a0f61,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Jingyuan Anquan,https://www.crunchbase.com/organization/jingyuan-anquan,"Guangzhou, Guangdong, China","Internet, Network Security, Security",http://www.chinagdn.com,17700000,CNY,2744769,2,2003-12-10,day,"Information Technology, Internet Services, Privacy and Security",870971,https://www.crunchbase.com/ipo/jingyuan-anquan-ipo--65f83509,NEEQ - National Equities Exchange and Quotations,,,,,,,,
