公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,员工人数,地址,电话,邮箱,团队姓名,职位,融资次数,融资总额(万人民币)
网达软件,上海网达软件股份有限公司,913100006987613616,http://www.wondertek.com.cn,移动互联网产品及服务提供商,网达软件是一家为电信运营商、广电媒体及金融保险提供移动互联网及互联网软件产品和服务的高新技术企业。公司自主研发了互联网业务运营管理系统、融合媒资管理系统、多格式多协议的视音频处理系统、全平台覆盖的客户端开发技术、数字营销推广等主要产品。,企业服务,综合企业服务,上海,浦东新区,2009-12,运营中,,上海市浦东新区自由贸易试验区新金桥路27号13号楼第3层西侧B单元,021-5030-1821,luting@wondertek.com.cn,冯达,CEO,,
东方中科,北京东方中科集成科技股份有限公司,911100007239681033,http://www.jicheng.net.cn/,电子测试测量领域综合服务提供商,东方中科是一家电子测试测量领域综合服务提供商，业务涵盖测试仪器销售、租赁、系统集成等方面，为用户提供维修维护、计量校准、资产管理、培训等技术服务，以及新能源汽车测试应用、通讯行业、EMC系统测试、光伏行业测试解决方案。,企业服务,综合企业服务,北京,海淀区,2000-08,运营中,,北京市海淀区阜成路67号银都大厦12层,010-6871-5566,webmaster@jicheng.net.cn,王戈,CEO,,
恒信移动,恒信东方文化股份有限公司,91130100732910720N,http://www.hxgro.com,专注于移动信息产品的销售与服务,恒信移动是一家专注于移动信息产品的销售与服务的公司，致力于为个人客户和行业客户提供从硬件到软件、从销售到服务的全面解决方案。公司的主要业务包括移动信息产品销售服务、移动信息服务平台建设和3G终端的应用等，构建移动商业信息服务新模式。,企业服务,客户服务,北京,海淀区,2001-11,运营中,,北京市海淀区蓝靛厂南路25号牛顿办公区北区11层,010-8884-6666,office@hxgro.com,孟宪民,CEO,,
皖通科技,安徽皖通科技股份有限公司,91340100711761244Q,http://www.wantong-tech.net,致力于提供整体解决方案,皖通科技是一家专业从事交通信息化建设领域系统集成、应用软件开发和运行维护服务的高新技术企业，致力于提供集专业性和适用性为一体的系统集成整体解决方案，并将其广泛应用到高速公路、港口码头、城市智能交通和物流跟踪等业务，以及司法和教育等各行业的信息化。,企业服务,行业信息化及解决方案,安徽,合肥,1999-05,运营中,,安徽省合肥市高新区皖水路589号,0551-6296-9227,wtkj@wantong-tech.net,王中胜,CEO,,
创意信息,创意信息技术股份有限公司,91510000201892738J,http://www.sc-troy.com,电信外包服务提供商,创意信息技术是一家电信外包服务提供商，致力于为电信外包服务中的电信级数据网络系统提供解决方案及技术服务，即为行业客户提供电信级数据网络和核心业务支撑平台系统的咨询评估、规划设计、开发调测和运营支撑等一站式综合技术服务。,企业服务,企业IT服务,四川,成都,1996-12,运营中,,四川省成都市高新西区西芯大道28号,028-8782-5555,troy@sc-troy.com,陆文斌,CEO,,
蓝盾股份,蓝盾信息安全技术股份有限公司,91440000707689817C,http://www.bluedon.com,综合性网络安全公司,蓝盾是一家以安全产品、安全服务、安全集成的综合性网络安全公司，致力于网络安全产品的研发，已自主研发出蓝盾防火墙、多功能安全网关(UTM)等多种产品，并以安全产品为基础，建立信息安全保障体系，提供风险评估、安全运维外包服务和安全培训等安全服务。,企业服务,企业安全,广东,广州,1999-10,运营中,,广东省广州市天河区天慧路16号,020-8552-6663,399633749@qq.com,柯宗贵,CEO,,
直真科技,北京直真科技股份有限公司,91110114682851688K,http://www.zznode.com,电信及IT运营管理产品和解决方案提供商,直真科技是一家专注于电信及IT运营管理产品和解决方案的高新技术软件企业，致力于面向广电、铁路和金融等行业客户和大中型企业的IT运营管理市场，提供IT运营管理产品和解决方案，依靠其特色的运营策略、技术和创新方式满足企业用户对于IT运营管理的需求。,企业服务,企业IT服务,北京,朝阳区,2008-11,运营中,,北京市朝阳区望京东园四区7号绿地中心B座9层,010-6280-0055,hongyan.liu@zznode.com,袁隽,CEO,,
齐心集团,深圳齐心集团股份有限公司,914403007152637013,http://www.comix.com.cn,文具及办公用品集成服务商,齐心集团是一家办公文具、办公设备、学生文具专业制造商和集成供应商，主营产品包括文件管理用品、OA办公设备、桌面文具盒办公耗材等1000余种，致力成为世界级办公用品集成服务商。,企业服务,办公OA,广东,深圳,2000-01,运营中,,广东省深圳市福田区福虹路世贸广场A幢17楼05-06号,,jianglong.luo@comix.com      ,陈钦鹏,CEO,,
南威软件,南威软件股份有限公司,91350000743817927G,http://www.linewell.com,行业智能化整体解决方案及咨询服务,南威是一个B2D开发者平台，专注于为政务、军队、交通等领域提供软件开发、系统集成和分享经济平台运营服务，致力于提供行业智能化整体解决方案及咨询服务，推动相关行业的发展。,企业服务,行业信息化及解决方案,福建,泉州,2002-10,运营中,,福建省泉州市丰海路南威大厦2号楼,0595-6828-8999,kf@linewell.com,吴志雄,CEO,,
亿联网络,厦门亿联网络技术股份有限公司,91350200705487306K,http://www.yealink.com,UC终端一站式解决方案提供商,"亿联网络是一家企业通信与协作解决方案提供商，专注于为用户提供视频会议、语音通信等产品,具体包括视频会议服务器、会议室终端、视频话机、PC软终端、电话会议机等,并提供视频会议解决方案。",企业服务,企业IT服务,福建,厦门,2001-11,运营中,,福建省厦门市软件园二期望海路63号402,0592-570-2000,sales@yealink.com,陈智松,CEO,,
智明达电子,成都智明达电子股份有限公司,915101057377033177,http://www.zmdde.com/,致力于于嵌入式计算机和行业系统设备的研发的公司,智明达电子是一家服务于信号处理、图像处理、数据处理、综合控制、通信交换等领域的公司，公司致力于于嵌入式计算机和行业系统设备的研发与制造，已形成了系统设备、嵌入式计算机、电源三大产品线，在硬件平台和系统软件方面为客户定制解决方案。,企业服务,行业信息化及解决方案,四川,成都,2002-03,运营中,,青羊区敬业路229号H3栋D单元,028-6150-9199 , manager@zmdde.com,王勇,董事长,,
中亦科技,北京中亦安图科技股份有限公司,91110108782543551R,http://www.ce-service.com.cn,第三方IT基础架构服务提供商,中亦科技是一家第三方IT基础架构服务提供商。公司专注于为用户提供覆盖IT基础架构层全生命周期的咨询服务、建设服务、管理服务和支持服务，在保障用户系统稳定运行的基础上，实现自动化、智能化运行管理，构建高效的系统架构。,企业服务,企业IT服务,北京,西城区,2005-11,运营中,,北京市西城区百万庄大街11号粮科大厦3层,010-5852-3737,judy.qiao@ce-service.com.cn,邵峰,CEO,,
普乐师,普乐师（上海）数字科技有限公司,913100007655974430,https://www.plscn.com/,销售及营销服务供应商,普乐师是一家销售及营销服务供应商，主要专注于向主要在线下零售店（如超市、百货公司及户外促销活动）开展业务的头部FMCG（即快速消费品）品牌商及经销商提供实地销售及营销解决方案。提供四类服务：(i)定制营销解决方案；(ii)任务与营销人员匹配服务；(iii)营销人员派驻服务；及(iv)SaaS+订阅。,企业服务,销售营销,上海,普陀区,2004-08,运营中,,上海市普陀区长寿路652号6号楼2楼至3楼,021-6032-1991,service@plscn.com,孙广军,创始人,,
泛微网络,上海泛微网络科技股份有限公司,9131000070322836XD,http://www.weaver.com.cn/,高端协同办公OA软件专业厂商,泛微网络是一家移动办公解决方案提供商，提供移动办公、协同办公(OA)、流程管理、信息门户、知识管理等，支持手机和PC应用端，主打产品有eteams云平台等。,企业服务,办公OA,上海,浦东新区,2001-03,运营中,,上海市浦东新区耀华支路39弄9号,4008202126,salesh@weaver.com.cn,韦利东,CEO,,
神州顺利办,神州易桥（北京）财税科技有限公司,911101146963286527,http://www.eqiao.com.cn/,企业运营服务提供商,神州易桥是一家综合企业服务提供商，旗下神州顺利办平台，通过“百城千店”计划以“圈地、囤人、赋能”战略为8000万中小微企业提供企业运营服务。,企业服务,创业服务,北京,海淀区,2009-11,运营中,,北京市海淀区黑泉路8号宝盛广场C座1层,010-82811236,business@12366.com,彭聪,创始人,,
英维克,深圳市英维克科技股份有限公司,9144030077877383X6,http://www.envicool.com,专注于机房与设备环境控制技术的国家级高新技术企业,英维克是专注于机房与设备环境控制技术的国家级高新技术企业。公司致力于为各行业客户提供多种专业解决方案，包括：数据中心机房温控及节能解决方案、中小型机房温控方案、微模块机柜解决方案、集装箱及模块化数据中心解决方案、基站与接入站点温控及节能解决方案、通信户外机柜温控及节能方案、特殊应用环境定制类温控及节能方案。,企业服务,企业IT服务,广东,深圳,2005-08,运营中,,广东省	深圳市宝安区观澜街道大布巷社区梅观高速路东侧鸿信工业园9号厂房1－3楼,0755-2958-8896,info@envicool.com,齐勇,CEO,,
广电计量,广州广电计量检测股份有限公司,914401017397031187,http://www.grgtest.com,第三方计量检测机构,广电计量是一所第三方计量检测机构，致力于提供计量校准、可靠性与环境试验、电磁兼容与安全测试、环保检测、食品农产品检测、消费品检测、技术培训与咨询、产品认证及检测装备研发等一站式服务。,企业服务,科研和社会服务,广东,广州,2002-05,运营中,,广东省广州市天河区黄埔大道西平云路１６３号,020-3869-9960,grgtest@grgtest.com ,赵友永,CEO,,
天承科技,深圳市天承科技有限公司,91440300594336299D,http://www.tcdee.com,企业IT软件服务商,天承科技是一家软件公司。以金蝶软件、管理咨询、IT服务、数据安全系统综合服务为主营业务，产品功能模块涵盖数据安全、分销，生产，计划，供应链，客户服务，人力资源，协同工作流，质量管理，运输管理等等企业管理的各个方面。,企业服务,企业IT服务,广东,深圳,2012-04,运营中,,广东省深圳市宝安区银田路4号宝安智谷B309,0755-2307-5302 ,,邵晶,执行常务董事兼总经理,,
法本信息,深圳市法本信息技术股份有限公司,91440300795421713J,http://www.farben.com.cn,IT产品、服务及解决方案供应商,法本信息是一家专业IT产品、服务及解决方案供应商，专注为金融、通讯、互联网行业提供高度专业的IT资源综合服务，并围绕着企业的数据价值化需求有着一套先进、务实的数据服务解决方案。,企业服务,数据服务,广东,深圳,2006-11,运营中,,广东省深圳市南山区学府路与科园路交汇处卫星大厦9层,0755-2363-3188,marketing@farben.com.cn,严华,董事长兼总经理,,
协创物联,协创数据技术股份有限公司,914403007798542523,http://www.sharetronic.com,无线网络与智能终端解决方案提供商,协创物联是一家专注于虚拟现实，物联网，智能家居，车联网领域的互联网公司；致力于研发无线网络终端，车联网终端，拥有自主智能家居云生态平台，渠道和国际物流及现代化服务管理体系，从事无线网络与智能终端全球领先的解决方案提供商。,企业服务,行业信息化及解决方案,广东,深圳,2005-11,运营中,,广东省深圳市福田区车公庙创建大厦1209-1212室,0755-3309-8502,sales@sharetronic.com,耿四化,董事长,,
万集科技,北京万集科技股份有限公司,9111010810114488XN,http://www.wanji.net.cn,智能交通系统研发商,万集科技是一家专业从事智能交通系统（ITS）技术研发、产品制造、技术服务的国家高新技术企业。公司专注于对动态称重技术的探索，并将其应用于交通检测领域，也十分注重产品的技术创新。,企业服务,企业IT服务,北京,海淀区,1994-11,运营中,,北京市海淀区中关村软件园12号楼万集空间,010-5976-6766,mk_wanji@126.com,翟军,董事长,,
中新赛克,深圳市中新赛克科技股份有限公司,91440300746615781R,http://www.sinovatio.com,数据通讯软硬件制造商,中新赛克是一家数据通讯技术的软硬件制造商，专注于专用设备、无线增值业务、宽带增值业务的研发和市场拓展，为运营商和行业用户提供解决方案和一站式的服务。,企业服务,企业IT服务,广东,深圳,2003-02,运营中,,广东省深圳市南山区粤海街道高新技术产业园区南区高新南一道021号思创科技大厦二楼东面中二号,,yoyi2046@163.com,,,,
钢研纳克,钢研纳克检测技术股份有限公司,91110108802071804M,http://www.ncschina.com,检测仪器开发与第三方检测服务商,钢研纳克是专业从事金属材料检测技术的研究、开发和应用的创新型企业。目前公司提供的主要服务或产品包括第三方检测服务、检测分析仪器、标准物质/标准样品、能力验证服务、腐蚀防护工程与产品，以及其他检测延伸服务。公司服务和产品主要应用于钢铁、冶金、有色、机械、航空航天、高铁、核电、汽车、新材料、环境、食品、石化等领域。,企业服务,科研和社会服务,北京,海淀区,2001-03,运营中,,北京市海淀区高梁桥斜街13号,010-6218-2584,office@ncschina.com,李波,CEO,,
同有科技,北京同有飞骥科技股份有限公司,911100007001499141,http://www.toyou.com.cn,大数据存储架构提供商,同有科技是专注专业的大数据存储基础架构提供商。作为中国存储第一股（股票代码：300302），同有科技坚持以软件定义为基础、贴近应用为核心、满足客户需求为方向，为全球用户提供高效安全融合的存储服务。,企业服务,数据服务,北京,海淀区,1998-11,运营中,,北京市海淀区地锦路9号院2号楼同有科技大厦,010-6249-1999 ,toyou@toyou.com.cn ,周泽湘,CEO,,
中公高科,中公高科养护科技股份有限公司,91110108667509745C,http://www.mshulian.com,公路养护检测系统设计开发及咨询服务公司,中公高科是一家服务于公路的企业，主营业务有网级养护决策咨询服务、路况检测装备开发和销售和项目级养护工程设计等，致力于为公路养护行业提供公路科学养护成套技术。,企业服务,科研和社会服务,北京,海淀区,2007-09,运营中,,北京市海淀区地锦路9号院4号楼,010-8236-4210,,杨文银,CEO,,
中创股份,山东中创软件商用中间件股份有限公司,91370000745684048J,http://www.inforbus.com,软件中间件产品与服务提供商,中创股份是一家软件中间件产品与服务提供商，专注于网络应用服务中间件和开源硬件等技术创新与产品化、产业化，涉及金融、交通、通讯、新能源、制造、科教、物流、新闻等广泛的行业领域。,企业服务,行业信息化及解决方案,山东,济南,2002-12,运营中,,山东省济南市历下区千佛山东路41-1号,400-618-6180,,景新海,CEO,,
英飞拓,深圳英飞拓科技股份有限公司,914403007230430398,http://www.infinova.com.cn,电子安防整体解决方案服务商,英飞拓是一家电子安防整体解决方案服务商及产品提供商，产品涵盖全系列视频监控设备，包括摄像机、高速云台、IP视频系统和门禁控制系统等，以及包括智慧城市、智慧交通、智慧建筑和智慧工业等多个行业的解决方案。,企业服务,行业信息化及解决方案,广东,深圳,2000-10,运营中,,广东省深圳市龙华新区观澜高新技术产业开发区英飞拓园区,0755-8609-5088,rdinfo@infinova.com.cn,刘肇怀,CEO,,
蓝汛通信,北京蓝汛通信技术有限责任公司,91110108700034420K,http://www.chinacache.com,互联网内容传输服务整体解决方案提供商,蓝汛通信是一家互联网内容传输服务整体解决方案提供商，专注于向客户提供全方位网络内容快速分布解决方案，致力于提供云到端的一体化高性价比解决方案。,企业服务,行业信息化及解决方案,北京,海淀区,1998-06,运营中,,北京市海淀区塔院朗秋园甲8号,010-6408-4466,hongxia.zhang@chinacache.com,王松,CEO,,
雄帝科技,深圳市雄帝科技股份有限公司,91440300192328114W,http://www.xiongdi.cn,智能证卡应用解决方案及咨询服务公司,雄帝科技是一个高新技术企业，专注于提供以智能证卡为载体的信息安全、数据分析管理及行业应用解决方案及咨询服务，主要产品包括智能证卡制作发行设备、智能证卡受理应用设备等，应用于交通运输、电信、金融等领域。,企业服务,企业IT服务,广东,深圳,1995-04,运营中,,广东省深圳市南山区软件产业基地1栋C座9楼,0755-8341-6677,sales@xiongdi.cn,高晶,CEO,,
科锐国际,北京科锐国际人力资源股份有限公司,911100007825037280,http://www.careerintlinc.com,整体人才解决方案服务商,科锐国际是一家整体人才解决方案服务商，在国内外设有超过六十家分支机构，致力于帮助客户企业解决各类人力资源方向的问题。,企业服务,人力资源,北京,朝阳区,2005-12,运营中,,北京市朝阳区朝外大街16号中国人寿大厦1301;朝阳门外大街16号中国人寿大厦1301室,010-5927-1267;400-050-7798,amychen@chinacareer.com,高勇,CEO,,
科信技术,深圳市科信通信技术股份有限公司,91440300731133026E,http://www.szkexin.com.cn/,光纤接入网等通信服务提供商,科信技术是一家专业从事研发、生产和销售通信网络设备并提供应用解决方案和技术服务的高新技术企业，向通信运营商、ICT设备商和网络集成商提供FTTX接入网ODN端到端解决方案、无线接入解决方案和传输网物理连接、分配解决方案等。,企业服务,企业IT服务,广东,深圳,2001-08,运营中,,广东省深圳市光明新区高新科技园汇业路南科信小区,0755-2989-3456,szkexin@szkexin.com.cn,陈登志,CEO,,
新致软件,上海新致软件股份有限公司,913100006075916282,https://www.newtouch.com,软件和信息技术服务提供商,新致软件成立于1994年，是一家软件和信息技术服务提供商。 总部坐落于上海，在北京、深圳、大连、重庆、成都、贵安、东京等多地设立了分支机构。 新致软件专注于为金融机构提供基于自有产品的信息化通用解决方案，为企业客户提供行业信息化定制解决方案以及向海外发包商提供软件外包服务。 在新一代信息技术研发和应用领域，新致软件紧跟时代步伐，建立了大数据实验室、区块链实验室、人工智能实验室三大实验室，助推新一代信息技术与金融机构及企业客户业务场景的深度融合，高效赋能企业智能化转型。自成立以来，新致软件以“日新以致远”作为公司的核心理念和品牌承诺， 以技术为支撑，以创新为动力，为客户提供安全、健康、持续优化的IT服务。,企业服务,行业信息化及解决方案,上海,浦东新区,1994-06,运营中,,上海市浦东新区峨山路91弄98号陆家嘴软件园1号楼4F-6F,400-7842-782,support@newtouch.com,,,,
中科江南,北京中科江南信息技术股份有限公司,91110108585861972A,http://www.ctjsoft.com,数据安全信息技术服务商,中科江南是一家专注于数据安全的信息技术服务商，主要为银行、政府部门、企事业单位提供电子化安全产品及整体解决方案，提供电子化安全解决方案、财政信息管理解决方案、运维服务三大类服务。,企业服务,企业安全,北京,海淀区,2011-11,运营中,,北京市海淀区万泉河路68号8号楼1710室,010-8265-7392 ,liuping@ctjsoft.com,丁绍连,CEO,,
思创医惠,思创医惠科技股份有限公司,91330000754441902G,http://www.century-cn.net,物联科技解决方案的提供商,思创医惠一家数字化零售、智慧医疗和物联科技解决方案的提供商，企业集研发、生产、服务一体，应用行业：供应链管理、零售业、制造业、医疗、智慧城市、烟草、资产管理。,企业服务,综合企业服务,浙江,杭州,2003-11,运营中,,浙江省杭州市莫干山路1418—25号,0571-2897-5273,zhengquanbu@century-cn.com,路楠,董事长,,
信安世纪,北京信安世纪科技股份有限公司,911101086003810384,http://www.infosec.com.cn,专注于PKI技术研发和应用的科技企业,信安世纪是一家科技企业，专注于PKI技术研发和应用，是应用安全产品和解决方案供应商，致力于实现互联网络和企业内部网络的通讯安全、交易安全和网络资源安全保护。,企业服务,企业安全,北京,海淀区,2001-08,,,北京市海淀区北洼路西里21号A座8246号,010-6802-5518,luoyh@infosec.com.cn,李伟,董事长,,
零点有数,北京零点有数数据科技股份有限公司,91110109590674493W,http://www.horizon-china.com,国际化数据智能服务机构,零点有数是一家专注于国际化数据智能服务的机构，服务领域广泛，基础包括专业调研、策略咨询、社会与文化研究，专业研究领域包括互动营销、公共呼叫、跨国投资、主题地产全案服务，行动管理领域包括青年公益、创业服务等。,企业服务,数据服务,北京,朝阳区,2005-06,运营中,,北京市朝阳区酒仙桥中路24号院1号楼878东区8层,021-6358-6180,zhengke@horizonrcg.com,,,,
信威集团,北京信威科技集团股份有限公司,91110000101927796W,http://www.xinweigroup.com.cn,专注于无线通信技术,信威集团是一个专注于无线通信技术的集团公司，形成了无线通信及宽带多媒体集群系统、通信网络测试及数据采集分析系统、政企行业共网建设运营三大业务体系。,企业服务,企业IT服务,北京,海淀区,1995-12,运营中,,北京市海淀区东北旺西路8号中关村软件园7号楼一层,010-6280-2288,wuyouyuan@bj.xinwei.com.cn,王靖,董事长,,
久其,北京久其软件股份有限公司,911100007177242684,http://www.jiuqi.com.cn,专注于企业用管理软件开发,久其是一家管理软件供应商，专注于从事报表管理软件、电子政务软件、商业智能软件和ERP软件的研究与开发，致力于研究开发的统计分析、财务管理等系统在财政、统计的应用。,企业服务,企业IT服务,北京,海淀区,1999-08,运营中,,北京市海淀区文慧园甲12号楼1层,010-8855-1199 ,licuilan@jiuqi.com.cn ,赵福君,CEO,,
浩瀚深度,北京浩瀚深度信息技术股份有限公司,91110108102094378J,http://www.haohandata.com,互联网建设和数据分析服务提供商,浩瀚深度是一家致力于高速互联网建设和数据分析的公司，专注于为用户提供设备制造、数据采集、大数据平台构建、海量数据挖掘、流量管理、流量经营等全程解决方案。,企业服务,行业信息化及解决方案,北京,海淀区,1994-06,运营中,,北京市海淀区北洼路45号,400-062-3679,info@haohandata.com.cn,张跃,CEO,,
飞天诚信,飞天诚信科技股份有限公司,9111000070003202XF,http://www.ftsafe.com.cn,智能卡操作系统及数字安全系统整体解决方案,飞天诚信是一家智能卡操作系统及数字安全系统整体解决方案的提供商和服务商，主要为用户提供网络身份认证、软件版权保护以及智能卡操作系统等服务。,企业服务,企业安全,北京,海淀区,1998-06,运营中,,北京市海淀区学清路9号汇智大厦B楼17层,010-6230-4466,techsup@ftsafe.com,黄煜,CEO,,
丝路视觉,丝路视觉科技股份有限公司,914403007152851426,http://www.silkroadcg.com,视觉设计和创作公司,丝路是一个企业服务平台，主要利用计算机图形图像技术进行视觉设计和创作，业务涵盖展览展示综合解决方案总包、三维动画制作、CG培训等领域，专注于为建筑、动漫、游戏、文体娱乐活动等行业的客户提供数字视觉综合服务。,企业服务,前沿技术,广东,深圳,2000-03,运营中,,广东省深圳市福田保税区市花路花样年福年广场B4栋108室,0755-8832-1289,wangjp@silkroadcg.com,李萌迪,CEO,,
南天信息,云南南天电子信息产业股份有限公司,91530000713401509F,http://www.nantian.com.cn,金融软件开发、系统集成服务公司,南天信息是一个移动互联网企业，专注于从事金融软件开发、系统集成、金融专业机具销售和售后服务，致力于为银行、电信、医药等行业提供应用咨询服务及解决方案。,企业服务,企业IT服务,云南,昆明,1998-12,运营中,,云南省昆明市高新技术产业开发区产业研发基地,0871-6333-2302,000948@nantian.com.cn,雷坚,CEO,,
思特奇,北京思特奇信息技术股份有限公司,91110108633062121U,http://www.si-tech.com.cn,业务规划、咨询、集成能力服务公司,思特奇是一家一家高新技术企业，致力于成为云、大数据和移动互联网时代的技术/产品/服务/运营的可信赖专家。主要从事软件产品研发和业务规划、咨询、集成能力服务。,企业服务,企业IT服务,北京,海淀区,1995-12,运营中,,北京市海淀区中关村南大街6号14层,010-5885-6600,marketing@si-tech.com.cn,吴飞舟,创始人,,
格尔软件,上海格尔软件股份有限公司,913100006320483955,http://www.koal.com/,信息安全数字证书领域的先行者,"格尔软件是一家信息安全数字证书服务商，公司拥有全系列信息安全产品、安全服务和解决方案的提供能力，产品包括:""安全认证网关""、""可信边界安全网关""、""无线安全网关""、""电子签章系统""等。",企业服务,企业安全,上海,浦东新区,1998-03,运营中,,北京市丰台区南四环西路186号四区7号楼8层11单元;上海市静安区江场西路299弄（近万荣路）中铁中环时代广场4号楼6楼,010-5631-8000;021-62327010,,,,,
中国软件,中国软件与技术服务股份有限公司,91110000102043722T,http://www.chinarjjs.com,基础软件开发体系研发商,中国软件是中国电子信息产业集团有限公司（CEC）实际控制的大型高科技上市企业，是中国电子计算产业的核心企业。形成软件产品、税务、政府、系统装备四大业务板块。生态伙伴覆盖服务器、网络设备、存储备份、中间件、云平台、安全、办公软件等多领域。,企业服务,综合企业服务,北京,昌平区,1994-03,运营中,,北京市昌平区昌盛路18号,400-706-1810, css@css.com.cn,杨军,董事长,,
263移动通信,广州二六三移动通信有限公司,914401013314429035,http://www.263mobile.cn,互联网模式的国际移动通信运营商,263移动通信是一家互联网模式的国际移动通信运营商。以创新的端+云模式提供虚拟移动通信运营服务，致力于为全球华人提供无界、全域、平等的出境漫游和跨境通信服务。,企业服务,办公OA,广东,广州,2015-03,运营中,,广东省广州市天河区中山大道西89号B栋东梯8层,020-8556-5399,,,,,
盛邦安全,远江盛邦（北京）网络安全科技股份有限公司,91110108565775188E,http://www.webray.com.cn,专注于WEB安全的前沿技术创新,盛邦安全是一家网络安全科技企业，专注于WEB安全的前沿技术创新，凭借强大的应用安全产品与服务，为用户的核心业务和关键信息资产提供安全保障，自主研发的实时安全操作系统RayOS， 以及“多态Web防护”专利技术，通过云监控与大数据平台、安全检测（漏洞扫描、无线扫描、应用扫描）、安全防护（Web防护、DDoS防护、网页防篡改）等三大类七条产品线，构建了国内最完备的WEB安全解决方案。,企业服务,企业安全,北京,海淀区,2010-12,运营中,,北京市海淀区农大南路1号院硅谷亮城2A603,010-8273-0576,info@webray.com.cn,,,,
达华智能,福州达华智能科技股份有限公司,91442000618086205K,http://www.twh.com.cn,高新技术型企业,达华智能是一家高新技术型企业，专业生产电子标签、非接触式智能卡、读写设备的制造商，并成为智能卡应用系统的整体解决方案供应商和服务供应商。,企业服务,数据服务,北京,朝阳区,1993-08,运营中,,北京市朝阳区弘善家园405号楼,400-830-1822,,蔡小如,CEO,,
魅视科技,广东魅视科技股份有限公司,914401055602112014,http://www.avcit.com.cn,专业系统设计开发运维企业,魅视科技是一家集高端中央控制系统、分布式控制系统、高清混合矩阵、分布式融合系统、分布式矩阵、触摸屏系统、专业模拟矩阵、数字音频会议系统以及周边设备的科研开发、生产制造、销售和服务的厂家。,企业服务,企业IT服务,广东,广州,2010-08,运营中,,广州市天河区黄埔大道中662号金融城绿地中心909-913号,020-8930-1789 ,,方华,董事长兼总经理,,
博彦科技,博彦科技股份有限公司,911100001021132178,http://www.beyondsoft.com,IT解决方案与服务提供商,博彦科技股份有限公司是一家面向全球的IT咨询、解决方案与服务提供商，致力于自身强大的研发与创新能力，广泛采用基于大数据、云计算和移动互联等新兴技术，为客户提供丰富的解决方案及产品。,企业服务,企业IT服务,北京,海淀区,1995-04,运营中,,北京市海淀区西北旺东路10号院东区7号楼博彦科技大厦,010-5096-5888,,王斌,创始人,,
数据港,上海数据港股份有限公司,91310000697241508E,http://www.athub.com,定制数据中心服务提供商,数据港是一个定制数据中心服务提供商，致力于为企业提供数据中心和咨询服务，专业从事数据中心建设，并以数字地产经营和信息技术服务外包为主导产业，主营业务包括定制数据中心、关键数据中心基础设施管理、数据中心规划咨询、 网络使能服务等。,企业服务,数据服务,上海,静安区,2009-11,运营中,,上海市静安区江场三路250号9层901室;上海市静安区江场三路250号9层901室,021-3633-8836 ,aaron.wu@athub.com ,周群,CEO,,
广东利通科技,广东利通信息科技投资有限公司,914400000666523006,,智能交通解决方案提供商,广东利通科技是一个智能交通解决方案提供商，致力于在互联信息时代迅猛发展的历史机遇下，公司将秉承自主创新精神，稳步推进智能交通、企业信息化、机电工程、交安工程四大板块业务，同时基于云平台、大数据、传感器网络和无线移动通信网络等技术的有效运用，隶属于广东利通信息科技投资有限公司。,企业服务,行业信息化及解决方案,广东,广州,2013-04,已关闭,,广东省广州市萝岗科学大道99号科汇金谷三街5号新粤大厦6—11层,,,凌坚,创始人,,
宝信软件,上海宝信软件股份有限公司,91310000607280598W,http://www.baosight.com,企业信息化解决方案供应商,宝信软件是一个企业信息化解决方案供应商，致力于计算机软件研发、数据库系统集成、电子商务、网络应用、办公自动化、软件咨询和技术服务，隶属于上海宝信软件股份有限公司。,企业服务,行业信息化及解决方案,上海,浦东新区,1994-08,运营中,,上海市浦东新区自由贸易试验区郭守敬路515号,021-2037-9999,,王力,创始人,,
博睿数据,北京博睿宏远数据科技股份有限公司,91110105672840619D,http://www.bonree.com/,应用性能管理服务商,博睿宏远是中国领先的应用性能管理服务商，专注用数据赋能IT运维，助力企业提升整体竞争力。为企业建立可视化的全业务链性能管理体系，保障所有层级的性能问题被准确发现和定位，帮助企业快速掌握应用性能对业务的影响，有针对性的快速优化应用性能及IT成本投入，从而提升IT系统对数字化业务的支撑效率及质量，帮助企业降低成本及损失，提升用户体验和业务发展。,企业服务,数据服务,北京,东城区,2008-02,运营中,,北京市东城区东中街46号鸿基大厦4层,,,孟曦东,CTO,,
软通动力,软通动力信息技术（集团）股份有限公司,91110108781703664R,http://www.isoftstone.com,IT服务及行业解决方案提供商,软通动力是一家IT服务及行业解决方案提供商，依托端到端“软件+服务”综合业务能力，公司主营业务覆盖软件技术服务、企业数字化转型服务、智慧城市服务以及云计算与互联网平台服务四大业务领域。,企业服务,企业IT服务,北京,海淀区,2005-11,运营中,,北京市海淀区西北旺东路10号院东区16号楼,010-5874-9000,contact@isoftstone.com,刘天文,创始人,,
兆日科技,深圳兆日科技股份有限公司,91440300748876299E,http://www.sinosun.com.cn/,从事安全芯片及解决方案等商用密码产品,兆日科技是一家信息安全服务的科技公司，专注于从事安全芯片及解决方案等商用密码产品研制、生产、及销售。,企业服务,企业安全,广东,深圳,2003-04,运营中,,广东省深圳市福田区车公庙深业泰然大厦C栋1605室, 0755-8341-5666 ,tingting.sun@sinosun.com.cn ,魏恺言,CEO,,
